"Angle (rad)";"Magnetic Field Strength (1X) (T)"
"a = 0.07";"R = 0.07"
"";"vindinger 330"
"std 3.11";"std 0.001423"
1.08E+1;8.170166E-6
1.08E+1;1.082031E-5
1.08E+1;9.550781E-6
1.08E+1;1.073608E-5
1.08E+1;8.901367E-6
1.08E+1;1.057251E-5
1.08E+1;1.033081E-5
1.08E+1;1.130127E-5
1.08E+1;1.068481E-5
1.08E+1;7.135010E-6
1.08E+1;9.532471E-6
1.08E+1;9.123535E-6
1.08E+1;8.386230E-6
1.08E+1;8.989258E-6
1.08E+1;9.089355E-6
1.08E+1;9.599609E-6
1.08E+1;7.094727E-6
1.08E+1;6.691895E-6
1.08E+1;5.167236E-6
1.08E+1;3.439941E-6
1.09E+1;-1.003296E-5
1.10E+1;-3.965698E-5
1.11E+1;-7.055908E-5
1.12E+1;-1.011877E-4
1.13E+1;-1.261230E-4
1.13E+1;-1.505786E-4
1.14E+1;-1.731995E-4
1.15E+1;-2.000903E-4
1.15E+1;-2.203662E-4
1.16E+1;-2.442224E-4
1.16E+1;-2.660828E-4
1.17E+1;-2.900671E-4
1.18E+1;-3.289355E-4
1.18E+1;-3.619482E-4
1.19E+1;-3.998328E-4
1.20E+1;-4.413770E-4
1.21E+1;-4.900818E-4
1.22E+1;-5.390417E-4
1.22E+1;-5.848486E-4
1.23E+1;-6.343018E-4
1.24E+1;-6.870349E-4
1.25E+1;-7.445825E-4
1.26E+1;-8.029932E-4
1.27E+1;-8.598511E-4
1.27E+1;-9.164539E-4
1.28E+1;-9.758679E-4
1.29E+1;-1.037473E-3
1.30E+1;-1.101832E-3
1.31E+1;-1.155417E-3
1.31E+1;-1.199020E-3
1.32E+1;-1.245691E-3
1.33E+1;-1.287192E-3
1.33E+1;-1.323665E-3
1.34E+1;-1.367224E-3
1.35E+1;-1.408014E-3
1.35E+1;-1.443357E-3
1.36E+1;-1.476084E-3
1.37E+1;-1.510529E-3
1.37E+1;-1.542778E-3
1.38E+1;-1.566224E-3
1.39E+1;-1.581299E-3
1.39E+1;-1.590514E-3
1.40E+1;-1.599888E-3
1.41E+1;-1.595365E-3
1.42E+1;-1.583661E-3
1.43E+1;-1.557450E-3
1.43E+1;-1.528442E-3
1.44E+1;-1.487953E-3
1.45E+1;-1.436006E-3
1.46E+1;-1.394437E-3
1.46E+1;-1.357040E-3
1.47E+1;-1.310448E-3
1.47E+1;-1.255364E-3
1.48E+1;-1.191559E-3
1.48E+1;-1.119850E-3
1.49E+1;-1.038013E-3
1.50E+1;-9.444800E-4
1.50E+1;-8.403784E-4
1.51E+1;-7.349902E-4
1.52E+1;-6.260156E-4
1.52E+1;-5.018103E-4
1.53E+1;-3.636523E-4
1.54E+1;-2.060986E-4
1.55E+1;-3.447388E-5
1.56E+1;1.184607E-4
1.56E+1;2.541333E-4
1.57E+1;3.835974E-4
1.58E+1;5.264722E-4
1.59E+1;6.702429E-4
1.59E+1;7.991675E-4
1.60E+1;9.225610E-4
1.61E+1;1.045359E-3
1.61E+1;1.155146E-3
1.62E+1;1.253448E-3
1.62E+1;1.335148E-3
1.63E+1;1.413923E-3
1.63E+1;1.499377E-3
1.64E+1;1.590555E-3
1.64E+1;1.668104E-3
1.65E+1;1.739280E-3
1.65E+1;1.814667E-3
1.66E+1;1.890962E-3
1.66E+1;1.958457E-3
1.67E+1;2.022097E-3
1.67E+1;2.088660E-3
1.68E+1;2.151144E-3
1.68E+1;2.199346E-3
1.69E+1;2.241517E-3
1.69E+1;2.277051E-3
1.70E+1;2.312020E-3
1.70E+1;2.345925E-3
1.71E+1;2.374742E-3
1.72E+1;2.397827E-3
1.72E+1;2.420076E-3
1.73E+1;2.432474E-3
1.73E+1;2.442161E-3
1.74E+1;2.447406E-3
1.74E+1;2.447866E-3
1.75E+1;2.440193E-3
1.76E+1;2.431290E-3
1.76E+1;2.415410E-3
1.77E+1;2.400973E-3
1.77E+1;2.382753E-3
1.78E+1;2.364082E-3
1.78E+1;2.342786E-3
1.79E+1;2.318961E-3
1.79E+1;2.291465E-3
1.80E+1;2.259497E-3
1.80E+1;2.229672E-3
1.81E+1;2.197828E-3
1.81E+1;2.159725E-3
1.82E+1;2.127557E-3
1.82E+1;2.093044E-3
1.83E+1;2.053041E-3
1.84E+1;2.011892E-3
1.84E+1;1.966908E-3
1.85E+1;1.918090E-3
1.85E+1;1.870642E-3
1.86E+1;1.826218E-3
1.87E+1;1.782811E-3
1.87E+1;1.742729E-3
1.88E+1;1.710240E-3
1.88E+1;1.680060E-3
1.89E+1;1.647782E-3
1.89E+1;1.613282E-3
1.90E+1;1.573751E-3
1.90E+1;1.534297E-3
1.91E+1;1.497635E-3
1.92E+1;1.463959E-3
1.92E+1;1.432366E-3
1.93E+1;1.400179E-3
1.93E+1;1.372390E-3
1.94E+1;1.344984E-3
1.94E+1;1.317655E-3
1.95E+1;1.291031E-3
1.95E+1;1.265422E-3
1.96E+1;1.240040E-3
1.96E+1;1.215044E-3
1.97E+1;1.191547E-3
1.97E+1;1.162894E-3
1.98E+1;1.132784E-3
1.98E+1;1.102993E-3
1.99E+1;1.075525E-3
2.00E+1;1.051575E-3
2.00E+1;1.034761E-3
2.01E+1;1.016029E-3
2.01E+1;1.002307E-3
2.02E+1;9.878735E-4
2.02E+1;9.730103E-4
2.02E+1;9.583521E-4
2.03E+1;9.434729E-4
2.03E+1;9.273059E-4
2.04E+1;9.151160E-4
2.04E+1;9.038037E-4
2.05E+1;8.923315E-4
2.05E+1;8.776099E-4
2.06E+1;8.633740E-4
2.06E+1;8.501270E-4
2.07E+1;8.350781E-4
2.07E+1;8.224426E-4
2.08E+1;8.182275E-4
2.08E+1;8.073425E-4
2.08E+1;8.011035E-4
2.09E+1;7.964722E-4
2.09E+1;7.905750E-4
2.09E+1;7.895129E-4
2.09E+1;7.896191E-4
2.09E+1;7.892871E-4
2.09E+1;7.870984E-4
2.09E+1;7.875684E-4
2.09E+1;7.881396E-4
2.09E+1;7.877637E-4
2.09E+1;7.891199E-4
2.09E+1;7.911145E-4
2.09E+1;7.893103E-4
2.09E+1;7.906067E-4
2.09E+1;7.886499E-4
2.09E+1;7.889954E-4
2.09E+1;7.871106E-4
2.09E+1;7.940979E-4
2.08E+1;7.991650E-4
2.08E+1;8.105396E-4
2.08E+1;8.175732E-4
2.07E+1;8.266711E-4
2.07E+1;8.380603E-4
2.06E+1;8.478516E-4
2.06E+1;8.627490E-4
2.05E+1;8.818225E-4
2.05E+1;8.988916E-4
2.04E+1;9.176013E-4
2.03E+1;9.358130E-4
2.03E+1;9.555652E-4
2.02E+1;9.719531E-4
2.02E+1;9.864551E-4
2.01E+1;1.009288E-3
2.01E+1;1.030559E-3
2.00E+1;1.052654E-3
2.00E+1;1.069945E-3
1.99E+1;1.090162E-3
1.98E+1;1.115542E-3
1.98E+1;1.143677E-3
1.97E+1;1.179957E-3
1.96E+1;1.215726E-3
1.96E+1;1.253107E-3
1.95E+1;1.294176E-3
1.94E+1;1.333741E-3
1.93E+1;1.371666E-3
1.93E+1;1.417482E-3
1.92E+1;1.464219E-3
1.91E+1;1.514556E-3
1.90E+1;1.557552E-3
1.90E+1;1.606656E-3
1.89E+1;1.659441E-3
1.88E+1;1.702180E-3
1.88E+1;1.741575E-3
1.87E+1;1.780529E-3
1.86E+1;1.821064E-3
1.86E+1;1.863794E-3
1.85E+1;1.915947E-3
1.84E+1;1.965886E-3
1.84E+1;2.009412E-3
1.83E+1;2.051030E-3
1.83E+1;2.092491E-3
1.82E+1;2.132972E-3
1.81E+1;2.175220E-3
1.81E+1;2.219020E-3
