"Angle (rad)";"Magnetic Field Strength (1X) (T)"
"";"R = 0.07"
"x-avvik 0.02";"vindinger 330"
"std 2.66";"std 0.0009352"
3.14E-3;1.052490E-5
3.14E-3;9.757080E-6
3.14E-3;9.294434E-6
3.14E-3;9.372559E-6
3.14E-3;1.206299E-5
3.14E-3;1.015869E-5
4.71E-3;9.674072E-6
6.28E-3;1.247070E-5
2.04E-2;1.841797E-5
5.81E-2;2.788086E-5
1.08E-1;4.576660E-5
1.63E-1;6.650635E-5
2.26E-1;8.758301E-5
3.03E-1;1.137476E-4
3.85E-1;1.439685E-4
4.59E-1;1.722144E-4
5.34E-1;2.041174E-4
6.05E-1;2.340906E-4
6.66E-1;2.599792E-4
7.19E-1;2.871704E-4
7.67E-1;3.073035E-4
8.09E-1;3.279700E-4
8.50E-1;3.499573E-4
8.95E-1;3.739429E-4
9.39E-1;3.978540E-4
9.88E-1;4.268188E-4
1.04E0;4.579797E-4
1.10E0;4.942566E-4
1.15E0;5.293506E-4
1.21E0;5.659155E-4
1.26E0;5.976099E-4
1.30E0;6.232104E-4
1.34E0;6.544592E-4
1.39E0;6.902637E-4
1.45E0;7.399622E-4
1.52E0;7.938928E-4
1.58E0;8.472437E-4
1.64E0;8.919873E-4
1.69E0;9.410022E-4
1.75E0;9.861621E-4
1.80E0;1.031675E-3
1.85E0;1.081323E-3
1.90E0;1.129791E-3
1.95E0;1.181514E-3
2.00E0;1.241555E-3
2.07E0;1.312451E-3
2.13E0;1.383492E-3
2.20E0;1.456219E-3
2.27E0;1.531747E-3
2.34E0;1.609585E-3
2.41E0;1.696396E-3
2.48E0;1.778805E-3
2.55E0;1.850953E-3
2.60E0;1.910820E-3
2.65E0;1.972709E-3
2.71E0;2.035858E-3
2.76E0;2.098009E-3
2.82E0;2.157948E-3
2.87E0;2.219203E-3
2.94E0;2.280894E-3
3.00E0;2.343159E-3
3.06E0;2.391896E-3
3.10E0;2.423813E-3
3.14E0;2.454276E-3
3.19E0;2.486573E-3
3.23E0;2.514103E-3
3.28E0;2.539938E-3
3.33E0;2.566631E-3
3.40E0;2.591525E-3
3.47E0;2.606300E-3
3.53E0;2.615125E-3
3.60E0;2.612979E-3
3.66E0;2.604442E-3
3.73E0;2.587661E-3
3.79E0;2.564420E-3
3.86E0;2.531232E-3
3.93E0;2.491848E-3
4.00E0;2.447460E-3
4.06E0;2.396384E-3
4.11E0;2.350951E-3
4.17E0;2.293459E-3
4.25E0;2.214385E-3
4.34E0;2.111891E-3
4.45E0;1.992308E-3
4.57E0;1.866476E-3
4.67E0;1.754768E-3
4.76E0;1.659580E-3
4.84E0;1.567815E-3
4.92E0;1.479060E-3
5.00E0;1.402606E-3
5.05E0;1.343397E-3
5.11E0;1.290973E-3
5.15E0;1.245289E-3
5.20E0;1.193887E-3
5.25E0;1.151226E-3
5.29E0;1.108293E-3
5.34E0;1.057698E-3
5.40E0;1.001318E-3
5.46E0;9.482629E-4
5.51E0;9.060815E-4
5.56E0;8.626794E-4
5.62E0;8.198047E-4
5.67E0;7.735889E-4
5.73E0;7.288342E-4
5.79E0;6.814331E-4
5.86E0;6.354419E-4
5.93E0;5.859802E-4
6.01E0;5.330676E-4
6.10E0;4.774194E-4
6.20E0;4.184680E-4
6.30E0;3.676111E-4
6.39E0;3.194238E-4
6.49E0;2.756299E-4
6.58E0;2.347412E-4
6.66E0;1.981555E-4
6.75E0;1.615771E-4
6.85E0;1.231689E-4
6.94E0;9.540894E-5
7.02E0;6.528564E-5
7.10E0;3.811890E-5
7.18E0;1.505859E-5
7.26E0;-6.031494E-6
7.33E0;-2.534424E-5
7.40E0;-4.413818E-5
7.48E0;-6.112671E-5
7.54E0;-7.914307E-5
7.61E0;-9.227661E-5
7.66E0;-1.025781E-4
7.71E0;-1.123425E-4
7.75E0;-1.206445E-4
7.79E0;-1.292737E-4
7.83E0;-1.372864E-4
7.88E0;-1.468542E-4
7.92E0;-1.515369E-4
7.97E0;-1.610730E-4
8.01E0;-1.702844E-4
8.06E0;-1.794006E-4
8.10E0;-1.854431E-4
8.14E0;-1.908826E-4
8.17E0;-1.965063E-4
8.21E0;-2.009106E-4
8.24E0;-2.079016E-4
8.27E0;-2.104065E-4
8.30E0;-2.157214E-4
8.32E0;-2.178528E-4
8.32E0;-2.172278E-4
8.32E0;-2.157898E-4
8.32E0;-2.189160E-4
8.32E0;-2.185364E-4
8.32E0;-2.179224E-4
8.32E0;-2.189893E-4
8.32E0;-2.204443E-4
8.32E0;-2.174597E-4
8.32E0;-2.192578E-4
8.32E0;-2.170349E-4
8.32E0;-2.213379E-4
8.32E0;-2.205444E-4
8.32E0;-2.177075E-4
8.32E0;-2.189404E-4
8.31E0;-2.176868E-4
8.31E0;-2.168738E-4
8.30E0;-2.180640E-4
8.27E0;-2.150464E-4
8.23E0;-2.050452E-4
8.18E0;-1.957629E-4
8.12E0;-1.872791E-4
8.07E0;-1.766772E-4
8.02E0;-1.698328E-4
7.97E0;-1.597266E-4
7.92E0;-1.486511E-4
7.85E0;-1.379126E-4
7.79E0;-1.262622E-4
7.73E0;-1.139453E-4
7.67E0;-1.036511E-4
7.62E0;-9.062866E-5
7.58E0;-7.850220E-5
7.52E0;-6.689819E-5
7.45E0;-4.803101E-5
7.38E0;-3.167725E-5
7.29E0;-5.095215E-6
7.19E0;2.458252E-5
7.09E0;5.275269E-5
7.02E0;7.309204E-5
6.97E0;8.727661E-5
6.93E0;1.013098E-4
6.89E0;1.185645E-4
6.84E0;1.354468E-4
6.78E0;1.605579E-4
6.71E0;1.879651E-4
6.65E0;2.094177E-4
6.60E0;2.281750E-4
6.55E0;2.518982E-4
6.50E0;2.758081E-4
6.45E0;2.965234E-4
6.40E0;3.234131E-4
6.34E0;3.582703E-4
6.27E0;3.887610E-4
6.21E0;4.253638E-4
6.15E0;4.602747E-4
6.08E0;4.999341E-4
6.02E0;5.345862E-4
5.96E0;5.743152E-4
5.90E0;6.143298E-4
5.84E0;6.587598E-4
5.78E0;7.003369E-4
5.72E0;7.503882E-4
5.65E0;7.984644E-4
5.59E0;8.451489E-4
5.54E0;8.859802E-4
5.49E0;9.310681E-4
5.44E0;9.731445E-4
5.39E0;1.016531E-3
5.35E0;1.061399E-3
5.30E0;1.104810E-3
5.26E0;1.145553E-3
5.22E0;1.183922E-3
5.17E0;1.235383E-3
5.11E0;1.291550E-3
5.06E0;1.349677E-3
5.00E0;1.413879E-3
4.93E0;1.485171E-3
4.87E0;1.551477E-3
4.82E0;1.610961E-3
4.77E0;1.668752E-3
4.71E0;1.726156E-3
4.67E0;1.773217E-3
4.64E0;1.817610E-3
4.60E0;1.863068E-3
4.56E0;1.907194E-3
4.51E0;1.958999E-3
4.47E0;2.012357E-3
4.42E0;2.068462E-3
4.37E0;2.129948E-3
4.31E0;2.191492E-3
4.25E0;2.249650E-3
4.19E0;2.302279E-3
4.14E0;2.345320E-3
4.10E0;2.380616E-3
4.07E0;2.410594E-3
4.03E0;2.438778E-3
3.99E0;2.468510E-3
3.94E0;2.501630E-3
3.89E0;2.529916E-3
3.84E0;2.554843E-3
3.79E0;2.573069E-3
3.75E0;2.587891E-3
3.70E0;2.597544E-3
3.65E0;2.605889E-3
3.61E0;2.609666E-3
3.56E0;2.607687E-3
3.51E0;2.604227E-3
3.46E0;2.595219E-3
3.41E0;2.576814E-3
3.33E0;2.546067E-3
3.24E0;2.493071E-3
3.15E0;2.428474E-3
3.07E0;2.366163E-3
3.00E0;2.303113E-3
2.92E0;2.225529E-3
2.84E0;2.139866E-3
2.77E0;2.061395E-3
2.70E0;1.990132E-3
2.64E0;1.916163E-3
2.57E0;1.839393E-3
2.51E0;1.769983E-3
2.45E0;1.705713E-3
2.39E0;1.628970E-3
2.32E0;1.555312E-3
2.27E0;1.497076E-3
