"Angle (rad)";"Magnetic Field Strength (1X) (T)"
"a = 0.035";"R = 0.07"
"";"vindinger 330"
"std 2.79";"std 0.00161"
5.12E0;1.097900E-5
5.12E0;7.839355E-6
5.12E0;1.032471E-5
5.12E0;1.060791E-5
5.12E0;9.493408E-6
5.12E0;1.064697E-5
5.12E0;1.233154E-5
5.12E0;1.468872E-5
5.14E0;2.558960E-5
5.17E0;4.079102E-5
5.22E0;6.519653E-5
5.28E0;9.579590E-5
5.35E0;1.343457E-4
5.43E0;1.821936E-4
5.52E0;2.336743E-4
5.61E0;2.928101E-4
5.71E0;3.506982E-4
5.79E0;4.078052E-4
5.86E0;4.547986E-4
5.92E0;4.976526E-4
5.97E0;5.344763E-4
6.02E0;5.751904E-4
6.08E0;6.242249E-4
6.14E0;6.817908E-4
6.21E0;7.392627E-4
6.27E0;7.977258E-4
6.34E0;8.579004E-4
6.40E0;9.239417E-4
6.49E0;1.018756E-3
6.59E0;1.128210E-3
6.69E0;1.253151E-3
6.80E0;1.381593E-3
6.90E0;1.504365E-3
6.99E0;1.619703E-3
7.08E0;1.746375E-3
7.18E0;1.882861E-3
7.28E0;2.042513E-3
7.40E0;2.212666E-3
7.50E0;2.365410E-3
7.59E0;2.498622E-3
7.66E0;2.607611E-3
7.72E0;2.701064E-3
7.78E0;2.788508E-3
7.84E0;2.879493E-3
7.90E0;2.980005E-3
7.97E0;3.087462E-3
8.04E0;3.191533E-3
8.11E0;3.294730E-3
8.18E0;3.401102E-3
8.25E0;3.505889E-3
8.32E0;3.608043E-3
8.40E0;3.711379E-3
8.48E0;3.807649E-3
8.56E0;3.900382E-3
8.65E0;3.996290E-3
8.73E0;4.071675E-3
8.81E0;4.141281E-3
8.89E0;4.201587E-3
8.96E0;4.244882E-3
9.02E0;4.278115E-3
9.09E0;4.309716E-3
9.15E0;4.334449E-3
9.21E0;4.352430E-3
9.29E0;4.368978E-3
9.38E0;4.373309E-3
9.47E0;4.368580E-3
9.55E0;4.351588E-3
9.62E0;4.334637E-3
9.69E0;4.298260E-3
9.77E0;4.260164E-3
9.84E0;4.214221E-3
9.92E0;4.159943E-3
9.99E0;4.102365E-3
1.01E+1;4.033298E-3
1.01E+1;3.961217E-3
1.02E+1;3.882863E-3
1.03E+1;3.797159E-3
1.03E+1;3.703546E-3
1.04E+1;3.597202E-3
1.05E+1;3.492959E-3
1.06E+1;3.384270E-3
1.07E+1;3.273783E-3
1.07E+1;3.171343E-3
1.08E+1;3.069098E-3
1.09E+1;2.960374E-3
1.09E+1;2.850568E-3
1.10E+1;2.732432E-3
1.11E+1;2.616685E-3
1.12E+1;2.505242E-3
1.12E+1;2.405690E-3
1.13E+1;2.316481E-3
1.13E+1;2.223992E-3
1.14E+1;2.127360E-3
1.15E+1;2.028575E-3
1.15E+1;1.924531E-3
1.16E+1;1.818229E-3
1.17E+1;1.715753E-3
1.18E+1;1.618634E-3
1.18E+1;1.527444E-3
1.19E+1;1.449221E-3
1.19E+1;1.393124E-3
1.20E+1;1.346095E-3
1.20E+1;1.299989E-3
1.20E+1;1.255067E-3
1.21E+1;1.210427E-3
1.21E+1;1.161174E-3
1.22E+1;1.100767E-3
1.22E+1;1.040059E-3
1.23E+1;9.759668E-4
1.24E+1;9.091443E-4
1.24E+1;8.484570E-4
1.25E+1;7.884094E-4
1.26E+1;7.268042E-4
1.26E+1;6.700830E-4
1.27E+1;6.148645E-4
1.28E+1;5.550159E-4
1.28E+1;4.990747E-4
1.29E+1;4.459631E-4
1.30E+1;4.004797E-4
1.30E+1;3.548584E-4
1.31E+1;3.108313E-4
1.32E+1;2.699329E-4
1.32E+1;2.306763E-4
1.33E+1;1.935767E-4
1.34E+1;1.561414E-4
1.34E+1;1.218005E-4
1.35E+1;8.765747E-5
1.36E+1;5.620483E-5
1.36E+1;2.104614E-5
1.37E+1;-1.254517E-5
1.38E+1;-4.047119E-5
1.39E+1;-7.130005E-5
1.39E+1;-1.009155E-4
1.40E+1;-1.289954E-4
1.41E+1;-1.605933E-4
1.42E+1;-1.843933E-4
1.42E+1;-2.081714E-4
1.43E+1;-2.247693E-4
1.43E+1;-2.383484E-4
1.44E+1;-2.522522E-4
1.44E+1;-2.623254E-4
1.45E+1;-2.751160E-4
1.45E+1;-2.880396E-4
1.45E+1;-2.967395E-4
1.46E+1;-2.993738E-4
1.46E+1;-2.980933E-4
1.46E+1;-3.009839E-4
1.46E+1;-2.985205E-4
1.46E+1;-3.012292E-4
1.46E+1;-3.001843E-4
1.46E+1;-2.995923E-4
1.46E+1;-3.009766E-4
1.46E+1;-2.994153E-4
1.46E+1;-2.994958E-4
1.46E+1;-3.007703E-4
1.46E+1;-3.010974E-4
1.46E+1;-2.989954E-4
1.46E+1;-2.994006E-4
1.46E+1;-2.989990E-4
1.46E+1;-2.992224E-4
1.46E+1;-2.968494E-4
1.46E+1;-2.955505E-4
1.45E+1;-2.928528E-4
1.45E+1;-2.824756E-4
1.45E+1;-2.660083E-4
1.44E+1;-2.393494E-4
1.43E+1;-2.127380E-4
1.42E+1;-1.836316E-4
1.41E+1;-1.533923E-4
1.40E+1;-1.227051E-4
1.40E+1;-9.938232E-5
1.39E+1;-7.788940E-5
1.38E+1;-5.837158E-5
1.38E+1;-4.278809E-5
1.38E+1;-2.437866E-5
1.37E+1;-1.666260E-6
1.37E+1;2.328613E-5
1.36E+1;4.453613E-5
1.36E+1;7.438843E-5
1.35E+1;1.126135E-4
1.34E+1;1.467383E-4
1.34E+1;1.777722E-4
1.33E+1;2.074646E-4
1.33E+1;2.355493E-4
1.32E+1;2.656274E-4
1.31E+1;2.989490E-4
1.31E+1;3.361389E-4
1.30E+1;3.701465E-4
1.30E+1;3.983203E-4
1.30E+1;4.306421E-4
1.29E+1;4.692126E-4
1.28E+1;5.089233E-4
1.28E+1;5.525073E-4
1.27E+1;5.990210E-4
1.27E+1;6.378406E-4
1.26E+1;6.806067E-4
1.26E+1;7.245654E-4
1.25E+1;7.696338E-4
1.25E+1;8.137964E-4
1.24E+1;8.638770E-4
1.24E+1;9.039417E-4
1.24E+1;9.419421E-4
1.23E+1;9.791577E-4
1.23E+1;1.022683E-3
1.22E+1;1.063108E-3
1.22E+1;1.100947E-3
1.22E+1;1.138899E-3
1.21E+1;1.182124E-3
1.21E+1;1.242560E-3
1.20E+1;1.306138E-3
1.20E+1;1.367767E-3
1.19E+1;1.423574E-3
1.19E+1;1.467787E-3
1.19E+1;1.512048E-3
1.18E+1;1.559279E-3
1.18E+1;1.610706E-3
1.17E+1;1.662605E-3
1.17E+1;1.712219E-3
1.17E+1;1.765720E-3
1.16E+1;1.825510E-3
1.16E+1;1.897312E-3
1.15E+1;1.964178E-3
1.15E+1;2.031443E-3
1.14E+1;2.106353E-3
1.14E+1;2.180461E-3
1.13E+1;2.242633E-3
1.13E+1;2.307783E-3
1.13E+1;2.375438E-3
1.12E+1;2.443989E-3
1.12E+1;2.516521E-3
1.11E+1;2.591348E-3
1.11E+1;2.660090E-3
1.10E+1;2.730197E-3
1.10E+1;2.797635E-3
1.09E+1;2.864025E-3
1.09E+1;2.932338E-3
1.09E+1;3.004000E-3
1.08E+1;3.090551E-3
1.07E+1;3.169323E-3
1.07E+1;3.237329E-3
