"Angle (rad) Run #30";"Magnetic Field Strength (1X) (T)"
"0 = geografisk nordpol";""
"";""
"";""
1.57E-2;4.765625E-6
2.67E-2;3.519287E-6
3.14E-2;5.689697E-6
3.93E-2;1.219482E-6
5.34E-2;4.173584E-6
6.28E-2;6.933594E-7
6.91E-2;1.455078E-6
7.38E-2;1.684570E-7
7.85E-2;3.353271E-6
8.17E-2;2.277832E-6
8.95E-2;2.878418E-6
9.58E-2;4.566650E-6
1.04E-1;1.511230E-6
1.24E-1;-6.250000E-7
1.43E-1;1.107178E-6
1.57E-1;-4.150391E-7
1.78E-1;-1.226807E-6
2.07E-1;6.347656E-7
2.36E-1;8.813477E-7
2.58E-1;2.758789E-7
2.76E-1;3.173828E-8
3.00E-1;6.506348E-7
3.28E-1;-2.163086E-6
3.55E-1;-3.408203E-6
3.83E-1;-1.701660E-6
4.13E-1;-1.816406E-6
4.37E-1;-1.678467E-6
4.60E-1;-3.150635E-6
4.89E-1;-2.155762E-6
5.22E-1;-2.396240E-6
5.45E-1;-1.617432E-6
5.73E-1;-2.124023E-7
5.98E-1;-1.813965E-6
6.27E-1;-2.434082E-6
6.58E-1;-1.754150E-6
6.90E-1;-1.807861E-6
7.16E-1;-2.126465E-6
7.38E-1;-1.900635E-6
7.59E-1;-2.697754E-7
7.85E-1;-3.118896E-6
8.20E-1;-3.601074E-6
8.50E-1;-9.606934E-7
8.69E-1;1.044922E-6
8.91E-1;8.288574E-7
9.06E-1;-2.734375E-7
9.27E-1;5.163574E-7
9.46E-1;-1.781006E-6
9.63E-1;2.453613E-7
9.83E-1;9.680176E-7
1.01E0;2.502441E-6
1.03E0;1.239014E-6
1.04E0;1.711426E-6
1.06E0;2.468262E-6
1.08E0;3.734131E-6
1.11E0;2.707520E-6
1.13E0;3.518066E-6
1.16E0;4.597168E-6
1.18E0;3.255615E-6
1.21E0;4.566650E-6
1.25E0;4.871826E-6
1.27E0;6.553955E-6
1.29E0;6.677246E-6
1.30E0;6.608887E-6
1.32E0;7.569580E-6
1.35E0;8.457031E-6
1.38E0;1.025269E-5
1.41E0;1.116455E-5
1.42E0;1.137573E-5
1.43E0;1.216431E-5
1.44E0;8.817139E-6
1.45E0;1.262695E-5
1.48E0;1.545410E-5
1.49E0;1.467896E-5
1.52E0;1.504639E-5
1.54E0;1.419312E-5
1.57E0;1.525146E-5
1.60E0;1.742676E-5
1.62E0;1.633423E-5
1.63E0;1.811279E-5
1.63E0;1.952148E-5
1.63E0;1.791626E-5
1.63E0;1.538818E-5
1.64E0;1.924438E-5
1.64E0;1.640015E-5
1.64E0;1.990967E-5
1.66E0;2.127319E-5
1.65E0;1.794678E-5
1.66E0;1.752808E-5
1.65E0;2.044434E-5
1.65E0;1.893311E-5
1.66E0;1.903687E-5
1.69E0;1.769531E-5
1.75E0;2.162231E-5
1.80E0;1.973145E-5
1.84E0;2.079346E-5
1.87E0;2.131348E-5
1.90E0;1.940063E-5
1.92E0;1.952515E-5
1.94E0;2.256714E-5
1.96E0;1.939209E-5
1.99E0;2.092529E-5
2.03E0;2.011719E-5
2.06E0;2.250244E-5
2.09E0;2.032593E-5
2.10E0;2.225342E-5
2.12E0;1.964478E-5
2.14E0;2.148560E-5
2.16E0;1.975830E-5
2.19E0;1.973389E-5
2.20E0;2.182251E-5
2.22E0;2.059570E-5
2.24E0;2.306030E-5
2.26E0;2.154175E-5
2.28E0;2.329956E-5
2.30E0;2.242065E-5
2.31E0;2.467285E-5
2.33E0;2.373291E-5
2.35E0;2.099976E-5
2.38E0;2.260620E-5
2.39E0;2.052734E-5
2.41E0;2.224854E-5
2.43E0;2.262085E-5
2.46E0;2.203003E-5
2.47E0;2.123047E-5
2.48E0;2.093384E-5
2.49E0;2.130127E-5
2.50E0;2.184082E-5
2.51E0;2.174683E-5
2.52E0;2.099365E-5
2.53E0;2.184814E-5
2.55E0;2.164307E-5
2.56E0;1.984863E-5
2.56E0;1.925537E-5
2.57E0;2.129150E-5
2.59E0;2.059814E-5
2.60E0;2.038452E-5
2.61E0;2.053345E-5
2.62E0;1.940552E-5
2.62E0;2.047363E-5
2.64E0;2.236450E-5
2.65E0;2.252930E-5
2.67E0;2.083374E-5
2.68E0;2.192017E-5
2.69E0;2.328003E-5
2.70E0;2.087402E-5
2.72E0;2.280151E-5
2.73E0;2.197632E-5
2.75E0;1.961792E-5
2.76E0;2.068970E-5
2.78E0;2.057495E-5
2.80E0;2.219116E-5
2.81E0;2.061401E-5
2.81E0;2.135010E-5
2.81E0;1.969360E-5
2.81E0;2.252808E-5
2.82E0;2.112915E-5
2.82E0;1.981323E-5
2.84E0;1.846191E-5
2.86E0;2.230103E-5
2.86E0;2.015991E-5
2.87E0;1.957031E-5
2.88E0;2.034058E-5
2.88E0;2.128174E-5
2.89E0;1.867310E-5
2.90E0;2.048828E-5
2.90E0;2.071167E-5
2.91E0;2.004883E-5
2.91E0;1.997681E-5
2.92E0;2.132446E-5
2.92E0;2.030273E-5
2.93E0;2.052246E-5
2.94E0;1.785278E-5
2.95E0;1.882446E-5
2.96E0;1.877075E-5
2.97E0;1.841064E-5
2.98E0;1.716553E-5
2.99E0;1.920044E-5
3.00E0;1.678101E-5
3.01E0;1.834717E-5
3.02E0;1.715088E-5
3.03E0;1.508057E-5
3.04E0;1.853027E-5
3.06E0;1.589844E-5
3.07E0;1.400635E-5
3.08E0;1.469727E-5
3.09E0;1.697266E-5
3.09E0;1.632202E-5
3.10E0;1.385010E-5
